gender;age;daily_screen_time_hours;phone_usage_hours;laptop_usage_hours;tablet_usage_hours;tv_usage_hours;social_media_hours;work_related_hours;entertainment_hours;gaming_hours;sleep_duration_hours;physical_activity_hours_per_week;location_type;mental_health_score;stress_level;mood_rating
1;53;6.8;2.9;2.1;0.5;2.0;2.3;3.0;2.3;2.2;7.1;4.4;0;79.0;3;5.6
0;66;4.1;2.1;1.6;0.4;0.8;2.8;3.5;2.0;1.6;6.8;4.1;0;71.0;4;6.0
1;43;4.7;3.6;0.0;0.5;1.4;3.7;3.6;1.0;0.9;6.0;1.4;2;67.0;6;4.3
0;29;6.0;4.5;0.0;0.2;1.3;4.5;4.0;0.8;0.3;7.3;0.0;0;55.0;10;1.3
1;57;6.7;3.4;2.0;0.8;1.2;3.8;3.5;1.2;2.0;7.0;2.8;2;62.0;6;3.6
1;22;8.6;2.4;3.4;1.4;1.1;4.5;3.8;1.0;0.7;6.0;1.4;2;51.0;9;1.2
1;35;5.9;4.1;1.8;0.0;0.4;3.8;3.9;1.9;1.2;6.6;1.9;1;62.0;6;3.1
1;53;7.3;2.5;2.2;0.9;2.4;4.5;3.8;1.2;0.9;6.9;0.0;2;45.0;10;1.4
0;72;4.2;1.2;0.5;1.2;2.3;0.3;1.1;2.3;2.6;7.2;5.1;2;77.0;1;9.1
1;33;5.6;2.0;2.6;0.3;1.4;2.6;3.2;1.6;1.4;8.0;3.6;1;78.0;4;7.7
0;37;8.1;2.7;2.6;1.4;2.7;4.5;3.9;1.4;1.0;7.7;0.0;1;49.0;10;1.0
1;25;6.2;2.7;0.7;0.6;2.0;4.5;4.2;0.8;1.9;6.7;0.0;1;45.0;10;1.0
1;25;3.6;1.0;2.1;0.0;0.3;3.3;3.9;1.6;1.7;8.3;5.9;2;67.0;5;5.2
1;38;1.0;1.0;0.0;0.0;1.0;2.4;2.9;2.4;1.6;8.7;4.9;1;83.0;3;7.6
1;67;7.2;1.7;2.3;1.1;2.9;3.9;4.1;1.9;0.9;7.3;0.0;1;57.0;7;4.6
1;50;4.4;2.5;0.9;1.0;1.0;2.3;3.0;1.8;1.6;7.0;4.1;1;74.0;3;8.5
1;54;3.7;2.6;0.2;1.5;0.7;4.5;4.0;2.3;0.5;7.6;0.0;2;41.0;9;1.0
0;38;5.8;2.1;1.9;1.0;2.1;3.8;3.8;1.9;1.6;6.2;4.6;1;58.0;6;3.7
1;17;3.2;1.2;0.0;0.5;1.1;4.5;4.1;1.1;1.0;7.3;0.0;1;43.0;10;1.0
0;36;7.6;3.6;1.9;0.9;2.0;4.5;3.8;1.7;1.6;7.1;0.1;1;43.0;9;1.0
0;67;2.2;1.0;0.3;0.6;1.4;1.9;2.9;2.2;1.7;7.9;2.4;0;76.0;3;7.0
1;16;5.3;3.2;0.0;0.4;0.6;4.5;4.2;0.8;1.6;7.1;0.0;0;49.0;10;1.9
1;38;5.1;2.7;1.6;0.3;0.7;4.5;3.8;1.3;1.0;7.4;0.0;0;60.0;8;1.0
2;58;3.3;3.2;1.3;0.0;0.0;2.2;2.9;1.6;2.1;7.1;4.5;1;71.0;3;8.2
0;44;4.3;1.6;3.1;0.2;0.3;3.5;3.5;1.1;1.6;8.2;0.0;1;58.0;6;3.8
0;52;4.0;1.9;0.1;0.6;2.0;1.3;2.4;2.8;2.5;8.2;4.3;0;79.0;2;8.7
1;16;8.4;2.0;3.0;0.0;2.6;4.1;3.6;2.3;1.2;7.2;2.9;0;61.0;7;2.8
0;74;1.8;1.6;0.2;0.3;0.8;1.2;1.6;2.2;3.0;7.6;5.3;0;88.0;1;9.5
0;35;5.0;2.2;2.5;1.2;0.0;4.1;4.0;1.5;0.1;7.0;0.4;1;67.0;7;2.2
0;47;9.6;3.4;2.7;1.4;2.5;4.5;3.7;0.8;1.4;7.2;0.0;0;57.0;10;1.0
